Name,Title,Place publication,Publisher,Date of publication
020948D9,"Orwell, George","Burmese days","Oxford","Oxford University Press","2021"
57E8B4B6,"Orwell, George","Nineteen eighty-four","London","Penguin","2021"
46ED8794,"Orwell, George","Animal farm : a fairy story","London","Penguin","2021"
2EB273A7,"Orwell, George","Nineteen eighty-four","London","Faber & Faber","2021"
27FF5C2E,"Orwell, George","1984","London","Scholastic","2021"
7C7EFE0F,"Orwell, George","Animal farm","London","Scholastic","2021"
572C0370,"Orwell, George","Burmese days","London","Arcturus","2021"
AFEF81A1,"Orwell, George","A clergyman's daughter","London","Arcturus","2021"
8004D857,"Orwell, George","Keep the aspidistra flying","London","Arcturus","2021"
924A4D3E,"Orwell, George","Nineteen eighty-four","London","Macmillan","2021"
687927CE,"Orwell, George","Animal farm","London","Macmillan","2021"
70D648EB,"Orwell, George","Burmese days","London","Macmillan","2021"
63B32617,"Orwell, George","1984","London","Vintage Classics","2021"
A3757FEE,"Orwell, George","Animal farm","London","Vintage Classics","2021"
8C8472F6,"Orwell, George","1984","London","Arcturus","2021"
AE11E8A0,"Orwell, George","Animal farm","London","Arcturus","2021"
CBF258CE,"Orwell, George","Animal farm","London","William Collins","2021"
A811209B,"Orwell, George","Burmese days","London","William Collins","2021"
2EB273A7,"Orwell, George","Nineteen eighty-four","London","Faber & Faber","2021"
49330667,"Orwell, George","Animal farm : and, Nineteen eight-four","London","William Collins","2021"
F13AF683,"Orwell, George","Coming up for air","Oxford","Oxford University Press","2021"
F897BC55,"Orwell, George","Animal farm","Oxford","Oxford University Press","2021"
91112796,"Orwell, George","Nineteen eighty-four","Oxford","Oxford University Press","2021"
03C2F320,"Orwell, George","Keep the aspidistra flying","Oxford","Oxford University Press","2021"
BBD9453C,"Orwell, George","Animal farm","Edinburgh","Barrington Stoke","2021"
039CA317,"Orwell, George","Nineteen eighty-four","Ware","Wordsworth","2021"
DBAD4EC8,"Orwell, George","Animal farm","Ware","Wordsworth","2021"
296C8A92,"Orwell, George","Nineteen eighty-four","Edinburgh","Polygon","2021"
296C8A92,"Orwell, George","Nineteen eighty-four","Edinburgh","Polygon","2021"
4FCCAA11,"Orwell, George","A clergyman's daughter","Oxford","Oxford University Press","2021"
0F0528B8,"Orwell, George","Animal farm","London","Faber & Faber","2021"
80C9DDC0,"Orwell, George","Nineteen eighty-four","London","William Collins","2021"
0F0528B8,"Orwell, George","Animal farm","London","Faber & Faber","2021"
A811209B,"Orwell, George","Burmese days","London","William Collins","2021"
280B7EE1,"Orwell, George","Animal farm","London","Flame Tree 451","2021"
34231FC0,"Orwell, George","Nineteen eighty-four","London","Flame Tree 451","2021"
20BF5784,"Orwell, George","Animal farm : GCSE 9-1 set text student edition","London","Collins","2021"
800E549D,"Christin, Pierre","Orwell","London","SelfMadeHero","2021"
4906B082,"Orwell, George","A clergyman's daughter","London","Arcturus Digital","2021"
423DDC40,"Orwell, George","1984","London","Arcturus Digital","2021"
C8277097,"Orwell, George","Animal farm","London","Arcturus Digital","2021"
29E61FD2,"Orwell, George","Keep the aspidistra flying","London","Arcturus Digital","2021"
BABEFEE8,"Orwell, George","Burmese days","London","Arcturus Digital","2021"
63D9EF0C,"Shaw, Dom","Eric is awake","","Anonymous Press","2013"
1FE8F022,"Glover, Dennis","The last man in Europe : a novel","Carlton, Victoria","Black","2017"
DBAF8597,"Bissell, Norman","Barnhill","Edinburgh","Luath Press","2019"
85E50D00,"Bissell, Norman","Barnhill : a novel","Edinburgh","Luath Press","2020"
B8018E24,"Glover, Dennis","The last man in Europe","Edinburgh","Polygon","2020"
EB7AFAA1,"Glover, Dennis","The last man in Europe : a novel","Edinburgh","Polygon","2020"
DFBEDF21,"Chapman, Jake","1984.1","Falmouth","Urbanomic","2020"
A7357200,"Orwell, George","Unwelcome guerrilla : George Orwell and the New statesman : an anthology","London","New Statesman","1984"
624D3FFE,"Orwell, George","Essays","London","Penguin","2014"
AC23C353,"Orwell, George","George Orwell : essays","London","Penguin","2014"
BB267A44,"Orwell, George","Shooting an elephant","London","Penguin","2021"
76E2570A,"Orwell, George","England your England","London","Pushkin","2021"
2D96D08E,"Orwell, George","Why I write","London","Renard Press","2021"
CFBAEC3B,"Orwell, George","The prevention of literature","London","Renard Press","2021"
BB267A44,"Orwell, George","Shooting an elephant","London","Penguin","2021"
