7CA61A53,"Name","Title","Place publication","Publisher","Date of publication"
9973DD27,"Orwell, George","A clergyman's daughter","Oxford","Oxford University Press","2021"
947DFEB1,"Orwell, George","Animal farm","London","Faber & Faber","2021"
D913B70D,"Orwell, George","Nineteen eighty-four","London","William Collins","2021"
947DFEB1,"Orwell, George","Animal farm","London","Faber & Faber","2021"
3D4D5EF9,"Orwell, George","Burmese days","London","William Collins","2021"
0ED25D03,"Orwell, George","Animal farm","London","Flame Tree 451","2021"
5DEAD249,"Orwell, George","Nineteen eighty-four","London","Flame Tree 451","2021"
500B7AA8,"Orwell, George","Animal farm : GCSE 9-1 set text student edition","London","Collins","2021"
114161AE,"Christin, Pierre","Orwell","London","SelfMadeHero","2021"
F8DBCFB9,"Orwell, George","A clergyman's daughter","London","Arcturus Digital","2021"
EE456752,"Orwell, George","1984","London","Arcturus Digital","2021"
BC3C2BF4,"Orwell, George","Animal farm","London","Arcturus Digital","2021"
B9EAB72A,"Orwell, George","Keep the aspidistra flying","London","Arcturus Digital","2021"
0CC05B76,"Orwell, George","Burmese days","London","Arcturus Digital","2021"
B579B087,"Shaw, Dom","Eric is awake","","Anonymous Press","2013"
97D41D6F,"Glover, Dennis","The last man in Europe : a novel","Carlton, Victoria","Black","2017"
14B0A09F,"Bissell, Norman","Barnhill","Edinburgh","Luath Press","2019"
E5F5BBB7,"Bissell, Norman","Barnhill : a novel","Edinburgh","Luath Press","2020"
09C91E8C,"Glover, Dennis","The last man in Europe","Edinburgh","Polygon","2020"
D9AC9C94,"Glover, Dennis","The last man in Europe : a novel","Edinburgh","Polygon","2020"
A3E5561A,"Chapman, Jake","1984.1","Falmouth","Urbanomic","2020"
4995113C,"Orwell, George","Unwelcome guerrilla : George Orwell and the New statesman : an anthology","London","New Statesman","1984"
D10E0750,"Orwell, George","Essays","London","Penguin","2014"
0394A5B0,"Orwell, George","George Orwell : essays","London","Penguin","2014"
CA82D84D,"Orwell, George","Shooting an elephant","London","Penguin","2021"
F644D951,"Orwell, George","England your England","London","Pushkin","2021"
BDFA4489,"Orwell, George","Why I write","London","Renard Press","2021"
1468C376,"Orwell, George","The prevention of literature","London","Renard Press","2021"
CA82D84D,"Orwell, George","Shooting an elephant","London","Penguin","2021"
6C549F9E,"Orwell, George","Selected essays","Oxford","Oxford University Press","2021"
F644D951,"Orwell, George","England your England","London","Pushkin","2021"
0C68AB1B,"Orwell, George","Inside the whale : on writers and writing","London","Pushkin","2021"
4F69B9F9,"Orwell, George","Down and out in Paris and London : The road to Wigan Pier","Ware","Wordsworth","2021"
BDFA4489,"Orwell, George","Why I write","London","Renard Press","2021"
1468C376,"Orwell, George","The prevention of literature","London","Renard Press","2021"
AEFFEDD7,"Orwell, George","Politics and the English language","London","Penguin","2013"
AB8A0B92,"Orwell, George","Diaries","London","Harvill Secker","2020"
21FE6F16,"Orwell, George","All propaganda is lies : 1941-1942","London","Secker","2015"
C568660A,"Orwell, George","I have tried to tell the truth, 1943-1944","London","Secker","2015"
01F94FED,"Orwell, George","Orwell on truth","London","Harvill Secker","2017"
B5107365,"Orwell, George","Orwell on truth","London","Vintage Digital","2017"
1AEAC805,"Orwell, George","George Orwell visions of dystopia","London","Flame Tree Collections","2021"
0BA61CC8,"Orwell, George","Seeing things as they are : selected journalism and other writings","London","Harvill Secker","2014"
42861336,"Orwell, George","I belong to the left : 1945","London","Secker","2015"
7916B07B,"Orwell, George","A kind of compulsion : 1903-1936","London","Secker","2015"
1C12EF69,"Orwell, George","Facing unpleasant facts, 1937-1939","London","Secker","2015"
7991B56B,"Stewart, Anthony","George Orwell, doubleness and the value of decency","London","Routledge","2015"
FFFECE7A,"Woloch, Alex","Or Orwell : writing and democratic socialism","Cambridge, Massachusetts","Harvard University","2016"
1AA14785,"Orwell, George","Seeing things as they are : selected journalism and other writings","London","Penguin","2016"
1AA14785,"Orwell, George","Seeing things as they are : selected journalism and other writings","London","Penguin","2016"
